,trust_code,scr_year,date,trust_name,trust_type,breach_%_type1,attendance_%_inpatient,ae_scaled,occupied_%_general,inpatient_%_casemix,staff_mix,available_general,total_doctors,nurses,deprivation_q1_q2,nurses_per_bed
0,R1F,2019,2015-01,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,8.746063252,124.4611761,6.394905153,81.02766798,45.90492458,1.523833042,260.2583333,205.9933193,701.1972203,41.6082,26.94235421
1,R1F,2019,2015-02,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,10.0526354,124.9587682,6.436393149,,45.53075369,1.526874247,260.5583333,205.7019579,700.0202635,41.60747778,26.86616293
2,R1F,2019,2015-03,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,10.53418075,125.1268926,6.504378952,,44.33131768,1.531214233,261.6666667,205.4266021,698.836434,41.60603333,26.70712486
3,R1F,2019,2015-04,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,11.11648365,124.9655493,6.538598978,83.15789474,43.48824575,1.536853002,263.5833333,205.1672518,697.6457315,41.60386667,26.46774827
4,R1F,2019,2015-05,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,11.24305268,125.2232192,6.665031373,,43.58080998,1.543790551,264.5,204.9239071,696.4481563,41.60097778,26.33074315
5,R1F,2019,2015-06,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,11.72998731,125.8999021,6.582661046,,43.60410544,1.552026883,264.4166667,204.6965679,695.2437081,41.59736667,26.29349038
6,R1F,2019,2015-07,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,12.67828964,126.995598,6.605979117,76.53846154,43.89173662,1.561561996,263.3333333,204.4852343,694.0323872,41.59303333,26.35566027
7,R1F,2019,2015-08,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,13.76817908,127.9936534,6.479092473,,43.56586972,1.572395891,263.1111111,204.2899063,692.8141933,41.58797778,26.33162052
8,R1F,2019,2015-09,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,15.00782499,128.894068,6.484089202,,43.10784937,1.584528567,263.75,204.1105838,691.5891267,41.5822,26.22138869
9,R1F,2019,2015-10,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,16.03164263,129.6968421,6.556314655,75.83643123,42.57789131,1.596218364,265.25,204.0043203,690.6029158,41.5757,26.03592519
10,R1F,2019,2015-11,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,16.71556248,130.4558564,6.47076459,,42.7191933,1.607465282,266.4722222,203.9711158,689.8555606,41.56847778,25.88846053
11,R1F,2019,2015-12,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,16.86725596,131.1711112,6.481363713,,43.03198365,1.618269321,267.4166667,204.0109704,689.3470613,41.56053333,25.77801413
12,R1F,2019,2016-01,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,17.05498008,131.8426062,6.526939942,90.03831418,43.47055154,1.628630481,268.0833333,204.123884,689.0774176,41.55186667,25.70385145
13,R1F,2019,2016-02,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,16.95492673,132.1340229,6.541324466,,43.75684617,1.638548762,268.25,204.3098567,689.0466298,41.54052708,25.68673364
14,R1F,2019,2016-03,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,18.1357793,132.0453613,6.475912736,,44.55563475,1.648024164,267.9166667,204.5688883,689.2546977,41.52651458,25.72645839
15,R1F,2019,2016-04,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,18.94884954,131.5766212,6.434273324,94.90909091,45.98957495,1.657056687,267.0833333,204.900979,689.7016214,41.50982917,25.82346164
16,R1F,2019,2016-05,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,18.92228563,131.0987111,6.340243962,,46.73510288,1.665646331,266.5,205.3061288,690.3874008,41.49047083,25.90571861
17,R1F,2019,2016-06,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,19.70643642,130.6116308,6.288762507,,47.51072031,1.673793096,266.1666667,205.7843375,691.312036,41.46843958,25.97290054
18,R1F,2019,2016-07,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,19.89686365,130.1153804,6.26302178,98.06949807,47.92254403,1.681496982,266.0833333,206.3356053,692.475527,41.44373542,26.02476143
19,R1F,2019,2016-08,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,20.0041558,129.8731336,6.285885602,,49.26087606,1.688757988,265.6111111,206.9599321,693.8778738,41.41635833,26.12382708
20,R1F,2019,2016-09,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,19.90447099,129.8848903,6.314200402,,50.14910177,1.695576116,264.75,207.6573179,695.5190763,41.38630833,26.27078664
21,R1F,2019,2016-10,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,20.22144934,130.1506505,6.296787557,96.45669291,50.97828722,1.700714158,263.5,208.318353,697.1126864,41.35358542,26.45588943
22,R1F,2019,2016-11,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,20.3218465,130.4613811,6.272106742,,51.11261072,1.704172114,262.5555556,208.9430373,698.6587042,41.31818958,26.60993795
23,R1F,2019,2016-12,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,20.7971482,130.8170821,6.30814376,,50.87229932,1.705949985,261.9166667,209.5313708,700.1571296,41.28012083,26.73205713
24,R1F,2019,2017-01,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,21.06291301,131.2177535,6.319499964,94.94163424,50.7132725,1.706047771,261.5833333,210.0833536,701.6079626,41.23937917,26.82158506
25,R1F,2019,2017-02,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,21.02118647,132.4667442,6.295727645,,51.2727344,1.70446547,260.9444444,210.5989856,703.0112033,41.28248194,26.94102972
26,R1F,2019,2017-03,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,20.74461754,134.5640542,6.282554449,,52.08594073,1.701203084,260,211.0782669,704.3668517,41.40942917,27.09103276
27,R1F,2019,2017-04,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,20.30101783,137.5096836,6.395662233,93.84615385,51.94519895,1.696260613,258.75,211.5211974,705.6749076,41.62022083,27.2724602
28,R1F,2019,2017-05,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,21.6086782,140.2062465,6.430942171,,51.85978701,1.689638056,257.6666667,211.9277771,706.9353713,41.91485694,27.43604287
29,R1F,2019,2017-06,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,21.96233801,142.6537428,6.470310342,,51.54567175,1.681335413,256.75,212.298006,708.1482425,42.2933375,27.58123632
30,R1F,2019,2017-07,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,21.52714011,144.8521727,6.549500933,95.2,51.66180293,1.671352685,256,212.6318842,709.3135214,42.7556625,27.70755943
31,R1F,2019,2017-08,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,20.48478216,147.2490067,6.577664317,,51.31286718,1.659689871,254.9166667,212.9294117,710.4312079,43.30183194,27.86915494
